NOMBDEP;NOMBPROV;NOMBDIST;UBIGEO;BUDGET;SEX_M;SEX_F;AGE_0_2;AGE_3_8;AGE_9_18;AGE_19_45;AGE_46_65;AGE_66_120;AREA_URB;AREA_RUR;CONTRACT_SERV;SUBSIDY;CASES_COVID;UBN_1;UBN_2;UBN_3;UBN_4;UBN_5;UBN_6
ANCASH;BOLOGNESI;CAJACAY;20505;85994.26;95799;80301;7525;20216;28526;69519;32345;19205;73562;102538;50000;12160;52;91.190002;16.780001;12.37;25.76;2.71;5.25
ANCASH;BOLOGNESI;CANIS;20506;85792.78;16604;14696;1234;2692;4039;10209;7068;6170;30066;1234;0;6080;1;90.269997;13.27;0;13.27;0;0
ANCASH;BOLOGNESI;COLQUIOC;20507;116406.6;121069;121631;9546;23136;31671;104447;50764;25943;169474;73226;0;36480;47;47.880001;19.26;7.5999999;12.01;1.41;1.41
ANCASH;BOLOGNESI;HUALLANCA;20508;138755.2;303110;322090;38633;84341;138022;223711;96357;47842;521430;103770;100000;98800;52;59.330002;17.879999;7.6999998;17.879999;2.0599999;7.1500001
ANCASH;BOLOGNESI;HUASTA;20509;106677;81635;79165;7074;19875;28073;52552;29645;24816;124867;35933;49916;2280;7;83.459999;10.31;5.8400002;21.209999;2.3299999;5.0599999
ANCASH;BOLOGNESI;HUAYLLACAYAN;20510;95249.69;70766;66834;5392;11120;20556;42459;34260;25386;37405;100195;50000;0;17;74.940002;9.7399998;26.68;42.459999;2.55;7.4200001
ANCASH;BOLOGNESI;LA PRIMAVERA;20511;77934.28;25594;25706;1796;4602;7746;16838;11562;9542;39064;12236;46620;0;1;95.760002;24.85;82.419998;72.730003;1.8200001;8.4799995
ANCASH;BOLOGNESI;MANGAS;20512;49973.01;25815;28285;1796;3704;8867;12122;15377;12795;40631;13469;0;0;0;93.709999;22.290001;5.71;69.709999;0.56999999;9.1400003
ANCASH;BOLOGNESI;PACLLON;20513;69629;45621;48879;3483;10562;20114;23822;19889;17192;91241;3259;49712;5320;3;75.629997;8.75;3.1300001;18.75;0;5.6300001
ANCASH;BOLOGNESI;SAN MIGUEL DE CORPANQUI;20514;105060.05;25951;26849;2809;4606;6628;17300;11908;9774;43925;8875;0;760;1;91.279999;18.120001;12.08;66.440002;1.34;4.0300002
ANCASH;BOLOGNESI;TICLLOS;20515;50000;29304;33796;2582;6175;10666;19424;11901;13249;53781;9319;49414;1520;2;88.720001;11.28;6.23;47.080002;1.17;6.6100001
ANCASH;CARHUAZ;CARHUAZ;20601;356865.52;807179;873521;89059;181056;305828;654378;296787;163086;1114364;566336;199999.72;214320;221;60.299999;11.87;3.1400001;19.940001;2.79;10.53
ANCASH;CARHUAZ;ACOPAMPA;20602;133482;135603;142497;13786;29946;45314;101477;51190;37291;107805;170295;0;31160;44;68.480003;11.8;2.72;12.71;2.8499999;10.38
ANCASH;CARHUAZ;AMASHCA;20603;106335;76726;84974;6441;15142;26893;56386;33221;25538;80568;81132;0;7600;0;85.629997;14.37;4.3299999;33.459999;0.38999999;17.32
ANCASH;CARHUAZ;ANTA;20604;119095.81;126134;141166;12659;33229;51878;96861;42949;30516;84767;182533;0;15960;18;74.019997;15.67;2.8699999;23.629999;1.4400001;11.62
ANCASH;CARHUAZ;ATAQUERO;20605;111265.04;79327;86673;8023;15594;32093;55371;34353;21470;31754;134246;0;5320;19;86.290001;5.9099998;3.8;14.98;1.48;9.0699997
ANCASH;CARHUAZ;MARCARA;20606;112040;474787;532313;43625;116747;179133;398161;177325;99116;410593;596507;0;58520;152;75.220001;8.0500002;6.4299998;17.870001;3.5999999;16.1
ANCASH;CARHUAZ;PARIAHUANCA;20607;49999.68;74942;81158;9043;17746;24981;56517;26789;21363;70533;85567;0;15960;7;74.879997;15.58;7.21;21.16;0.69999999;12.79
ANCASH;CARHUAZ;SAN MIGUEL DE ACO;20608;111167.2;128053;137547;14806;28820;55946;93808;46678;27125;43626;221974;82100;760;6;94.230003;15.61;6.6100001;4.0799999;4.5;17.860001
ANCASH;CARHUAZ;SHILLA;20609;77801.62;139468;164332;13110;26786;46339;115846;63857;42157;99458;204342;58546.35;7600;10;84.389999;10.44;0.83999997;11.39;1.16;17.620001
ANCASH;CARHUAZ;TINCO;20610;127493.5;179122;196978;16048;40910;69389;144767;67354;40006;168499;207601;0;82840;41;66.43;14.07;2.6700001;5.8499999;1.4400001;7.5999999
ANCASH;CARHUAZ;YUNGAR;20611;95085.6;164417;173683;17967;38081;62716;127579;58648;35369;79892;258208;0;3800;22;71.830002;9.6199999;12.21;8.8000002;1.17;9.2700005
ANCASH;CARLOS FERMIN FITZCARRALD;SAN LUIS;20701;304843.13;497382;558418;55709;137052;228161;332032;182884;126066;330479;725322;200000;20520;51;83.559998;10.76;4.9200001;37.060001;1.4400001;24.860001
ANCASH;CARLOS FERMIN FITZCARRALD;SAN NICOLAS;20702;125000;161894;178206;17976;46382;80226;110519;52707;34842;112183;227917;100000;0;4;96.050003;9.3699999;5.5300002;24.940001;2.5999999;20.200001
ANCASH;CARLOS FERMIN FITZCARRALD;YAUYA;20703;186773.5;215752;237948;24638;53050;107321;124079;86456;62595;95779;357921;99999.75;0;1;90.610001;12.49;9.0799999;52.75;4.0300002;26.610001
ANCASH;CASMA;CASMA;20801;1856302.36;1967677;2023523;210111;464168;671303;1604331;737335;327069;3668022;323178;1014614.69;700720;799;40.950001;9.1499996;0.60000002;2.1700001;1.86;2.22
ANCASH;CASMA;BUENA VISTA ALTA;20802;116855;281629;270071;30211;67632;91893;223266;95211;46347;303601;248099;0;33440;51;77.400002;12.66;16.1;4.4200001;1.75;6.23
ANCASH;CASMA;COMANDANTE NOEL;20803;137993.52;125744;110756;12700;31694;36270;94508;42449;20137;173799;62701;50000;71440;36;45.470001;10.31;0.77999997;14.53;1.72;3.5899999
ANCASH;CASMA;YAUTAN;20804;141994;482835;463265;56535;121653;172923;346877;165370;86290;374343;571757;100000;54720;70;69.25;9.79;5.77;10.95;2.6099999;6.0599999
ANCASH;CORONGO;CORONGO;20901;194281;85452;83348;6863;18485;31325;49478;36084;27783;123639;45161;0;10640;9;73.610001;8.04;7.2199998;10.93;1.86;7.4200001
ANCASH;CORONGO;ACO;20902;94209.2;20391;21609;1330;5098;6760;11525;9309;8533;22828;19172;0;760;1;88.279999;14.06;24.219999;14.06;0.77999997;12.5
ANCASH;CORONGO;BAMBAS;20903;83946.26;26146;23154;3767;5982;8974;17393;7312;6315;41323;7977;49184.26;4560;0;89.389999;8.3299999;6.0599999;40.91;0.75999999;4.5500002
ANCASH;CORONGO;CUSCA;20904;190815.46;145486;146814;17051;36427;60010;107730;49381;22698;113045;179255;50000;9880;16;84.050003;7.9000001;9.8400002;32.790001;4.4699998;6.2600002
ANCASH;CORONGO;LA PAMPA;20905;51678.9;54787;50913;4427;11400;15606;31544;26010;17598;78805;26895;0;6080;8;63.779999;8.9799995;19.200001;21.67;0.62;7.4299998
ANCASH;CORONGO;YANAC;20906;50000;37868;32332;3543;7640;13841;22034;13509;9965;26906;43294;50000;4560;2;85.910004;14.09;1.8200001;15.91;0.91000003;12.27
ANCASH;CORONGO;YUPAN;20907;103196.28;36645;36755;1993;5646;9742;23360;19374;14392;68972;4428;49972.5;0;0;73.610001;13.89;0;6.9400001;2.0799999;2.0799999
ANCASH;HUARI;HUARI;21001;339710.65;521293;570207;61998;128887;212773;372597;188805;133289;706430;385070;616317.1;80560;134;60;11.08;1.53;10.78;1.79;11.46
ANCASH;HUARI;ANRA;21002;135144;83250;83250;6724;16626;37652;48532;32029;25794;35085;131415;49607;4560;3;91.879997;11.6;5.0999999;20.65;0.46000001;16.940001
ANCASH;HUARI;CAJAY;21003;65856.84;138056;159944;17975;35584;62608;93545;49769;39375;78749;219251;50000;760;10;90.639999;16.040001;2.1400001;40.509998;2.9400001;24.6
